@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
151,'2017/02/13 21:11:29:822',6,388.789459,304.601135,49.469112,1,?,?,?,1
152,'2017/02/13 21:11:30:157',6,388.736877,304.727936,49.473366,1,?,?,?,1
153,'2017/02/13 21:11:30:263',6,388.413879,304.853516,49.501503,1,?,?,?,1
154,'2017/02/13 21:11:34:668',7,383.820618,316.265472,47.469173,0,?,?,?,150
155,'2017/02/13 21:11:34:938',7,383.693756,316.659943,47.497078,0,?,?,?,150
156,'2017/02/13 21:11:35:198',7,383.674164,316.74408,47.503685,0,?,?,?,150
157,'2017/02/13 21:11:35:455',7,383.708832,316.87793,47.517429,0,?,?,?,150
158,'2017/02/13 21:11:35:653',7,383.773163,316.916016,47.525005,0,?,?,?,150
159,'2017/02/13 21:11:35:746',7,383.97876,316.970398,47.543385,0,?,?,?,150
160,'2017/02/13 21:11:35:931',7,384.910248,316.209045,47.546715,0,?,?,?,150
161,'2017/02/13 21:11:36:010',7,385.49411,315.661652,47.538223,0,?,?,?,150
162,'2017/02/13 21:11:36:197',7,384.10614,316.626648,47.557255,0,?,?,?,150
163,'2017/02/13 21:11:36:259',7,383.935608,316.929932,47.566425,0,?,?,?,150
164,'2017/02/13 21:11:36:532',7,384.025879,317.206787,47.569664,0,?,?,?,150
165,'2017/02/13 21:11:36:614',7,384.069641,317.2836,47.571468,0,?,?,?,150
166,'2017/02/13 21:11:36:810',7,384.145081,317.479828,47.580227,0,?,?,?,150
167,'2017/02/13 21:11:36:995',7,384.128082,317.574524,47.582897,0,?,?,?,150
168,'2017/02/13 21:11:37:107',7,384.177887,317.65625,47.582623,0,?,?,?,150
169,'2017/02/13 21:11:37:219',7,384.18808,317.690979,47.581936,0,?,?,?,150
170,'2017/02/13 21:11:37:286',7,384.149628,317.768372,47.579247,0,?,?,?,150
171,'2017/02/13 21:11:37:345',7,384.126801,317.828674,47.578064,0,?,?,?,150
172,'2017/02/13 21:11:37:405',7,384.093689,317.89978,47.577038,0,?,?,?,150
173,'2017/02/13 21:11:37:548',7,383.953064,318.043091,47.560226,0,?,?,?,150
174,'2017/02/13 21:11:37:616',7,383.936615,318.067993,47.555382,0,?,?,?,150
175,'2017/02/13 21:11:37:667',7,383.924561,318.107727,47.54834,0,?,?,?,150
176,'2017/02/13 21:11:37:781',7,383.935303,318.125549,47.545303,0,?,?,?,150
177,'2017/02/13 21:11:37:861',7,383.923065,318.155334,47.542305,0,?,?,?,150
178,'2017/02/13 21:11:37:999',7,383.931763,318.18335,47.541805,0,?,?,?,150
179,'2017/02/13 21:11:38:207',7,383.990204,318.227081,47.53347,0,?,?,?,150
180,'2017/02/13 21:11:38:265',7,383.953094,318.26181,47.523361,0,?,?,?,150
